"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62"
1,1,0.20195822,0.97447626,2.6846728e-07,0.88785844,0.83390003,1.0760208,0.80186618,0.63420134,-0.74541963,-0.82335559,-1.0150064,-0.97715819,-0.88852959,-1.0223498,-0.84507355,-0.89484527,-0.70632094,-0.79499583,0.87430855,0.88490433,0.80680895,0.80810289,0.88626939,0.24185545,-2.380682,1.5343432,0.18082215,0.36240657,4.6009414e-07,0.14303521,0.091853789,0.12715197,0.1317015,0.12572965,0.10889818,0.12543693,0.1141729,0.12898162,0.1279005,0.079284085,0.11328029,0.10023311,0.094345047,0.091182584,0.099262192,0.077979191,0.097171302,0.091495129,0.11093308,0.19918239,0.39724786,0.45982812,-6467.1479,0.91452124,26,12986.296,13095.876,13013.35,0.74910759,6.8854479e-11
1,2,0.01446419,1.8849751,5.9663847e-07,-0.6655101,-0.93127074,-0.8669604,-0.98580805,-0.81471749,0.97274951,0.75603883,0.86817867,0.948809,0.96325521,0.68380842,0.91586032,0.92088736,0.98988775,0.93236904,-0.61479982,-0.90046124,-0.83951975,-0.83672292,-0.7279388,0.1382717,0.95417121,0.62999453,0.11458177,0.67116711,6.5642916e-07,0.088174945,0.095892405,0.091861583,0.089433926,0.073406608,0.11263612,0.089450124,0.090789499,0.10074451,0.088602532,0.15164482,0.1166541,0.1332753,0.15413241,0.14559421,0.13154976,0.12297286,0.13891245,0.14853516,0.1248754,0.23721101,0.218034,0.40568616,-6464.1062,0.9299467,26,12980.212,13089.792,13007.267,0.74576365,2.6185098e-10
1,3,0.077011842,2.3575578,1.4909166e-10,-0.79552368,-0.81458232,-0.7999772,-0.92414217,-0.86720967,0.98314748,0.80705259,0.89293114,0.76246422,0.87434855,0.82693054,0.97203274,0.84842716,0.8846218,0.91816701,-0.73475277,-0.54413245,-0.95189622,-0.89975103,-0.79672986,-0.05113496,1.0771591,0.66678417,0.12913936,0.82424605,2.2218227e-10,0.10177296,0.10484073,0.083086151,0.10473669,0.098898072,0.085330172,0.097130853,0.086657422,0.10485511,0.090923882,0.13366545,0.17894591,0.11390795,0.11971161,0.15946794,0.14935398,0.11987771,0.1218824,0.13327033,0.11788446,0.27631328,0.2053469,0.42948862,-6471.8144,0.95096512,26,12995.629,13105.209,13022.683,0.7400679,4.3668492e-14
1,4,0.042919392,1.9102215,1.6219187e-12,0.78057036,0.73632212,0.83533318,0.71868353,0.61187567,-0.79021812,-1.1994404,-0.65524053,-0.66612355,-0.77646441,-1.0245435,-0.71079019,-0.88197172,-0.72932263,-0.85671364,0.87599516,0.8798867,0.97613352,0.96752295,0.82001412,0.29686888,-1.5668704,0.54276803,0.1298809,0.80478623,3.5561742e-12,0.13762395,0.12549492,0.1184056,0.13017391,0.1093209,0.1351108,0.137482,0.1273298,0.15547478,0.12644147,0.10095083,0.093646599,0.095196807,0.088238978,0.11049687,0.087805078,0.12120153,0.094361786,0.09664645,0.09930605,0.25313243,0.27225036,0.40882077,-6490.06,0.95987287,26,13032.12,13141.7,13059.174,0.7129084,5.1288445e-16
1,5,-0.025946631,1.7241266,0.092598383,-0.84564645,-0.81030904,-1.0933181,-0.82306155,-0.86778003,0.9115544,0.79268136,0.89439108,0.8357532,0.89638846,0.85433526,0.54591606,0.51721232,0.93870543,0.92083204,-0.79736932,-0.85923762,-1.0575523,-0.78385397,-0.73273879,-0.46714326,0.67619523,1.5734626,0.1624435,0.69509378,0.18239619,0.10682695,0.092772139,0.094479831,0.11465445,0.097618837,0.11296135,0.10426513,0.097065938,0.10020046,0.11516913,0.1395659,0.1165254,0.11934927,0.1300095,0.11456289,0.11473341,0.12938335,0.12377733,0.1100941,0.11212177,0.24254637,0.20628786,0.50385887,-6479.191,1.0071891,26,13010.382,13119.962,13037.436,0.73616343,0.0083923857
1,6,0.16696311,2.1668282,3.2875467e-15,0.7489844,0.98096306,0.77897621,0.81401732,0.92733384,-0.98893847,-0.98669393,-1.0248429,-1.0950224,-0.65537344,-0.93923397,-0.80128753,-0.85731268,-0.84812524,-0.793833,0.76863233,0.94235718,0.87074416,1.0537395,0.81110126,0.21524391,-2.3123772,1.4357223,0.1346689,0.65093587,3.1036294e-15,0.12938765,0.11547267,0.15538223,0.12035286,0.11417471,0.12229074,0.14584404,0.13545315,0.13815582,0.12428089,0.10078776,0.11876934,0.08749182,0.099623433,0.08693768,0.097161119,0.10164024,0.12101316,0.089161281,0.093149038,0.25918834,0.33859901,0.45510589,-6420.1417,0.98897578,26,12892.283,13001.863,12919.338,0.77518616,5.376634e-18
1,7,0.27916465,1.9653878,9.2749381e-05,-0.92098461,-0.83349363,-0.72483424,-0.68715174,-0.89229665,0.89685103,0.87890124,0.72578904,0.8826726,1.0652943,0.77429831,0.53586828,0.67995046,0.6308136,0.95620713,-0.95072037,-0.98643543,-0.86504323,-0.85014099,-0.78275148,-0.11056098,0.7634439,1.229827,0.12472934,0.72069818,0.0003713914,0.076948903,0.096872713,0.090793557,0.094948914,0.086468039,0.12389792,0.10557196,0.089754533,0.10902564,0.1127618,0.12535127,0.11604811,0.1240745,0.10278766,0.14006275,0.1360167,0.16229361,0.12882552,0.12210301,0.12733041,0.24479081,0.19349574,0.46361801,-6497.4957,0.97805412,26,13046.991,13156.571,13074.046,0.73757458,1.7557198e-08
1,8,0.062411349,1.6934204,0.17019398,-0.84294935,-0.746495,-0.97428384,-0.94169134,-0.96633472,0.78922196,0.69916873,0.7817862,1.0214044,0.72243461,0.8668655,0.84626229,0.89778031,0.97434245,0.64695572,-0.8544991,-0.76898456,-0.68744615,-0.86886374,-0.95656704,-0.12419114,0.60875654,1.3938474,0.16810209,0.58665508,0.21850405,0.093072337,0.091791972,0.094880893,0.085451083,0.095936123,0.0779018,0.10367063,0.10345058,0.10853784,0.10061656,0.13902332,0.14305605,0.12893735,0.13331977,0.11503645,0.1541204,0.1493341,0.14280321,0.13188,0.11327129,0.21507431,0.23726478,0.52116836,-6490.0975,0.98215997,26,13032.195,13141.775,13059.249,0.72863776,0.011870591
1,9,0.12289204,3.865966,0.052571716,-0.77829639,-0.84359666,-0.83512952,-0.80523713,-0.79569798,0.87455716,0.96960312,0.83378558,0.71434339,0.88183394,0.96072758,0.93228384,1.0733622,1.1018741,1.0674053,-0.79964103,-0.99753295,-0.96959993,-0.89167615,-0.87936361,-0.051352734,0.83395478,1.6886377,0.11554791,1.295467,0.18190964,0.098782292,0.081304967,0.086131781,0.096206069,0.092778404,0.10244664,0.098870667,0.10284711,0.099311845,0.10558539,0.13703779,0.12067445,0.13300254,0.15289337,0.16959437,0.14797277,0.12763234,0.13571701,0.12280083,0.12983785,0.33548886,0.20748049,0.45828636,-6406.2886,1.0498104,26,12864.577,12974.157,12891.631,0.80383123,0.0036569309
1,10,0.11409301,2.2399433,0.0002179284,0.96948687,0.91589656,1.0458105,0.88292626,0.79024107,-0.70051788,-0.99926433,-0.76519401,-0.76767796,-0.78371944,-1.0136715,-0.84937048,-0.96756707,-0.84094121,-1.0058112,0.71277168,0.92396988,0.84735514,0.90564588,0.88496783,-0.13614698,-2.2324296,1.1038375,0.12420388,0.93992952,0.00037383931,0.14207836,0.11954483,0.15438205,0.13330077,0.11784698,0.14622686,0.12642078,0.12111845,0.15352699,0.14507592,0.096724052,0.090887134,0.097749006,0.1136727,0.1123522,0.08757974,0.091538227,0.086793078,0.086221341,0.099314148,0.24574974,0.29941598,0.42257515,-6401.3279,0.97032368,26,12854.656,12964.236,12881.71,0.77589907,1.3563431e-05
