V1,V2,beta,alpha1,alpha2,c1tau1,c1tau2,c1tau3,c1tau4,c1tau5,c1tau6,c1tau7,c1tau8,c1tau9,c1tau10,c2tau1,c2tau2,c2tau3,c2tau4,c2tau5,c2tau6,c2tau7,c2tau8,c2tau9,c2tau10,x1,x2,gamma,beta_se,alpha1_se,alpha2_se,c1tau1_se,c1tau2_se,c1tau3_se,c1tau4_se,c1tau5_se,c1tau6_se,c1tau7_se,c1tau8_se,c1tau9_se,c1tau10_se,c2tau1_se,c2tau2_se,c2tau3_se,c2tau4_se,c2tau5_se,c2tau6_se,c2tau7_se,c2tau8_se,c2tau9_se,c2tau10_se,x1_se,x2_se,gamma_se,LL,H0_scaling,parms,AIC,BIC,SSBIC,entropy,x3
1,1,0.20243606,0.97351369,1.73E-05,-1.0226631,-0.84536289,-0.89515835,-0.70654201,-0.7952085,0.87458135,0.88517353,0.80707739,0.80835378,0.88656941,0.88737981,0.83353049,1.075502,0.80148707,0.63385424,-0.7450575,-0.82293513,-1.0145114,-0.9766569,-0.88811792,-0.24411646,0.8454747,1.5344123,0.1808434,0.3621953,2.96E-05,0.079293523,0.11332004,0.10024075,0.094360025,0.091194992,0.09929311,0.077992708,0.097187839,0.091511712,0.11096523,0.14298095,0.091841326,0.12710731,0.13167347,0.12571362,0.10885887,0.12538748,0.11413634,0.12893138,0.12787077,0.19925187,0.17408059,0.45969278,-6467.1481,0.91448315,26,12986.296,13095.876,13013.35,0.74904292,4.52E-09
1,2,0.01446419,1.8849751,5.97E-07,-0.6655101,-0.93127074,-0.8669604,-0.98580805,-0.81471749,0.97274951,0.75603883,0.86817867,0.948809,0.96325521,0.68380842,0.91586032,0.92088736,0.98988775,0.93236904,-0.61479982,-0.90046124,-0.83951975,-0.83672292,-0.7279388,0.1382717,0.95417121,0.62999453,0.11458177,0.67116711,6.56E-07,0.088174945,0.095892405,0.091861583,0.089433926,0.073406608,0.11263612,0.089450124,0.090789499,0.10074451,0.088602532,0.15164482,0.1166541,0.1332753,0.15413241,0.14559421,0.13154976,0.12297286,0.13891245,0.14853516,0.1248754,0.23721101,0.218034,0.40568616,-6464.1062,0.9299467,26,12980.212,13089.792,13007.267,0.74576365,2.62E-10
1,3,0.076314114,2.369878,0.000418251,-0.79532934,-0.81433146,-0.79984254,-0.92380623,-0.8669597,0.98294847,0.80689531,0.89262041,0.76223972,0.87408564,0.82728506,0.97236966,0.84890557,0.88482483,0.9185079,-0.73514725,-0.54441669,-0.95215803,-0.90006945,-0.79698937,-0.047962219,1.0776105,0.66736769,0.1289802,0.82994193,0.000621347,0.10175479,0.10482414,0.083074949,0.10470803,0.09888362,0.085309637,0.097114076,0.086643001,0.10484401,0.090900212,0.13369848,0.17897879,0.11394809,0.11972503,0.15950134,0.14940104,0.11990613,0.12190955,0.13331307,0.11792023,0.27661257,0.20563747,0.42970511,-6471.8162,0.95105359,26,12995.632,13105.212,13022.687,0.74016167,4.89E-05
1,4,0.041646501,1.9306001,0.0006845,-1.0244587,-0.7107318,-0.88188026,-0.72945704,-0.85679279,0.8761225,0.87994317,0.9761943,0.96754911,0.82029644,0.78015186,0.7359881,0.83489999,0.71865114,0.6117537,-0.79012919,-1.1991342,-0.65506267,-0.6658969,-0.77662805,-0.30017043,1.0230713,0.54523034,0.12938152,0.81562786,0.001486336,0.10095295,0.093664243,0.095201956,0.088255418,0.11049588,0.087800331,0.12122723,0.094367961,0.096655946,0.099333571,0.13761416,0.12548465,0.11836606,0.13015853,0.10931588,0.13510921,0.13747864,0.12733119,0.15547199,0.12644723,0.25364536,0.22537145,0.40934773,-6490.0621,0.96011516,26,13032.124,13141.704,13059.178,0.71295055,9.50E-05
1,5,-0.025353648,1.7101562,0.095282756,-0.84601989,-0.81055833,-1.0934005,-0.8233595,-0.86810491,0.91190325,0.79293871,0.89472949,0.83605217,0.8967496,0.85410716,0.54568547,0.51667299,0.9383381,0.92048737,-0.79709644,-0.8588718,-1.0571334,-0.78356263,-0.7325222,-0.46942291,0.67670333,1.5721261,0.16268919,0.68828855,0.18118026,0.10686544,0.092809853,0.094497149,0.11468965,0.097652015,0.11298192,0.10428532,0.097090629,0.10021647,0.11520471,0.13952194,0.11651042,0.11933257,0.12997914,0.11454013,0.11471667,0.12935782,0.1237429,0.11006941,0.11211497,0.24218543,0.20615927,0.50332973,-6479.1912,1.0066414,26,13010.382,13119.962,13037.437,0.73606969,0.008399772
1,6,0.16752652,2.1616704,5.88E-07,-0.93924166,-0.80132849,-0.85734441,-0.84814104,-0.79387615,0.76867729,0.94241803,0.87077999,1.0537768,0.81112746,0.74892776,0.98095845,0.77896056,0.81397412,0.92733572,-0.98894319,-0.98671358,-1.0248224,-1.0949884,-0.65535673,-0.21530274,0.87692714,1.4347223,0.13481659,0.64902983,5.55E-07,0.10078961,0.11877162,0.087492788,0.099628001,0.086938082,0.097162166,0.10164132,0.12101369,0.089163757,0.093153344,0.12937767,0.1154757,0.15538035,0.12034544,0.11417395,0.12228594,0.1458455,0.1354553,0.13815074,0.12427861,0.25908408,0.20044155,0.45499221,-6420.1419,0.98900801,26,12892.284,13001.864,12919.338,0.77517213,9.85E-11
1,7,0.27916465,1.9653878,9.27E-05,-0.92098461,-0.83349363,-0.72483424,-0.68715174,-0.89229665,0.89685103,0.87890124,0.72578904,0.8826726,1.0652943,0.77429831,0.53586828,0.67995046,0.6308136,0.95620713,-0.95072037,-0.98643543,-0.86504323,-0.85014099,-0.78275148,-0.11056098,0.7634439,1.229827,0.12472934,0.72069818,0.000371391,0.076948903,0.096872713,0.090793557,0.094948914,0.086468039,0.12389792,0.10557196,0.089754533,0.10902564,0.1127618,0.12535127,0.11604811,0.1240745,0.10278766,0.14006275,0.1360167,0.16229361,0.12882552,0.12210301,0.12733041,0.24479081,0.19349574,0.46361801,-6497.4957,0.97805412,26,13046.991,13156.571,13074.046,0.73757458,1.76E-08
1,8,0.062411349,1.6934204,0.17019398,-0.84294935,-0.746495,-0.97428384,-0.94169134,-0.96633472,0.78922196,0.69916873,0.7817862,1.0214044,0.72243461,0.8668655,0.84626229,0.89778031,0.97434245,0.64695572,-0.8544991,-0.76898456,-0.68744615,-0.86886374,-0.95656704,-0.12419114,0.60875654,1.3938474,0.16810209,0.58665508,0.21850405,0.093072337,0.091791972,0.094880893,0.085451083,0.095936123,0.0779018,0.10367063,0.10345058,0.10853784,0.10061656,0.13902332,0.14305605,0.12893735,0.13331977,0.11503645,0.1541204,0.1493341,0.14280321,0.13188,0.11327129,0.21507431,0.23726478,0.52116836,-6490.0975,0.98215997,26,13032.195,13141.775,13059.249,0.72863776,0.011870591
1,9,0.13090746,3.8903462,0.006793028,-0.77846495,-0.84365265,-0.836528,-0.80523055,-0.79678411,0.87470438,0.96992393,0.83382478,0.714445,0.88243792,0.95985448,0.93117846,1.0748025,1.1004716,1.0682777,-0.79881106,-0.99675821,-0.96842836,-0.89078637,-0.87927983,-0.05629734,0.83730538,1.6523744,0.1276451,1.3094105,0.007837883,0.098754046,0.081343039,0.086587296,0.096315723,0.093133134,0.10259319,0.098788324,0.10295391,0.099423806,0.10545106,0.13688538,0.12078529,0.13393458,0.15368543,0.16978203,0.1468609,0.1266174,0.13536678,0.12304267,0.13001699,0.3370918,0.20802861,0.42785242,-6406.3126,1.027938,26,12864.625,12974.205,12891.679,0.80377989,-0.008310912
1,10,0.11465686,2.2312124,0.000512583,-1.014313,-0.85018634,-0.96818124,-0.84164559,-1.0062648,0.7132849,0.92459145,0.84785221,0.90630561,0.88558726,0.96803848,0.91520786,1.0442435,0.88206653,0.78875945,-0.69974759,-0.99788093,-0.76408189,-0.7667914,-0.78276292,0.12000468,1.1262678,1.1025698,0.12418705,0.93521569,0.000874187,0.09678063,0.09094617,0.097795834,0.11373627,0.11241078,0.087619185,0.091571977,0.086817608,0.086270159,0.099390742,0.14199401,0.11944149,0.15425472,0.13321922,0.11784726,0.14616798,0.12632801,0.12105238,0.15343978,0.14494356,0.24515327,0.23313486,0.42235345,-6401.328,0.97032915,26,12854.656,12964.236,12881.71,0.77565287,3.20E-05
